time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
2.315015,-0.079949,0.026284,-0.148591,-0.126063
2.320014,-0.080710,0.025898,-0.154475,-0.133880
2.325014,-0.081499,0.025077,-0.159769,-0.143852
2.330014,-0.082312,0.024484,-0.164457,-0.147432
2.335013,-0.083147,0.023593,-0.168514,-0.149956
2.340013,-0.084000,0.022996,-0.171899,-0.157293
2.345012,-0.084867,0.022040,-0.174602,-0.160095
2.350012,-0.085747,0.021340,-0.176619,-0.172450
2.355012,-0.086634,0.020299,-0.177966,-0.175662
2.360011,-0.087526,0.019621,-0.178654,-0.174596
2.365011,-0.088420,0.018562,-0.178693,-0.179387
2.370011,-0.089312,0.017728,-0.178095,-0.186071
2.375010,-0.090199,0.016612,-0.176886,-0.185242
2.380010,-0.091078,0.016058,-0.175088,-0.177197
2.385010,-0.091947,0.015005,-0.172716,-0.171114
2.390009,-0.092802,0.015018,-0.169830,-0.145028
2.395009,-0.093641,0.014157,-0.166412,-0.141880
2.400008,-0.094462,0.013719,-0.162564,-0.136906
2.405008,-0.095262,0.003065,-0.158415,-0.156376
2.410008,-0.096041,0.002263,-0.154144,-0.151842
2.415007,-0.096799,0.001363,-0.149769,-0.147304
2.420007,-0.097534,0.000913,-0.145253,-0.146032
2.425007,-0.098247,0.000054,-0.140614,-0.138153
2.430006,-0.098935,-0.000695,-0.135771,-0.119933
2.435006,-0.099599,-0.001403,-0.130587,-0.112110
2.440006,-0.100235,-0.001856,-0.125092,-0.103159
2.445005,-0.100844,-0.002457,-0.119252,-0.094995
2.450005,-0.101421,-0.002955,-0.113051,-0.109131
2.455004,-0.101967,-0.003588,-0.106441,-0.099358
2.460004,-0.102478,-0.003868,-0.099490,-0.085138
2.465004,-0.102955,-0.004360,-0.092350,-0.075110
2.470003,-0.103394,-0.004581,-0.084941,-0.066661
2.475003,-0.103796,-0.004960,-0.077297,-0.055068
2.480003,-0.104159,-0.005128,-0.069551,-0.046838
